UserID,Timestamp,Accuracy
6420063,2024-10-05 05:10:00.050716+00:00,60.98%
6420063,2024-10-05 05:10:00.242478+00:00,56.06%
6420063,2024-10-05 05:10:00.427993+00:00,54.77%
6420063,2024-10-05 05:10:00.613028+00:00,57.71%
6420063,2024-10-05 05:10:00.798246+00:00,59.67%
6420063,2024-10-05 05:10:00.982754+00:00,59.21%
6420063,2024-10-05 05:10:01.167726+00:00,59.51%
6420063,2024-10-05 05:10:01.352240+00:00,60.77%
6420063,2024-10-05 05:10:01.536672+00:00,60.94%
6420063,2024-10-05 05:10:01.722677+00:00,61.93%
6420063,2024-10-05 05:10:01.909291+00:00,60.40%
6420063,2024-10-05 05:10:02.095761+00:00,60.49%
6420063,2024-10-05 05:10:02.280435+00:00,58.93%
6420063,2024-10-05 05:10:02.465579+00:00,62.70%
6420063,2024-10-05 05:10:02.651255+00:00,56.64%
6420063,2024-10-05 05:10:02.838793+00:00,65.77%
6420063,2024-10-05 05:10:03.023946+00:00,66.68%
6420063,2024-10-05 05:10:03.210677+00:00,66.65%
6420063,2024-10-05 05:10:03.396961+00:00,65.33%
6420063,2024-10-05 05:10:03.583998+00:00,65.50%
6420063,2024-10-05 05:10:03.768738+00:00,65.02%
6420063,2024-10-05 05:10:03.954576+00:00,66.48%
6420063,2024-10-05 05:10:04.139173+00:00,58.15%
6420063,2024-10-05 05:10:04.325327+00:00,59.91%
6420063,2024-10-05 05:10:04.512478+00:00,62.26%
6420063,2024-10-05 05:10:04.701765+00:00,63.55%
6420063,2024-10-05 05:10:04.886222+00:00,61.02%
6420063,2024-10-05 05:10:05.070683+00:00,58.83%
6420063,2024-10-05 05:10:05.255382+00:00,63.12%
6420063,2024-10-05 05:10:05.438745+00:00,63.17%
6420063,2024-10-05 05:10:05.624972+00:00,61.48%
6420063,2024-10-05 05:10:05.810966+00:00,61.86%
6420063,2024-10-05 05:10:05.997830+00:00,61.57%
6420063,2024-10-05 05:10:06.183987+00:00,60.22%
6420063,2024-10-05 05:10:06.370670+00:00,59.91%
6420063,2024-10-05 05:10:06.554499+00:00,63.15%
6420063,2024-10-05 05:10:06.740307+00:00,60.23%
6420063,2024-10-05 05:10:06.926637+00:00,60.33%
6420063,2024-10-05 05:10:07.113290+00:00,61.98%
6420063,2024-10-05 05:10:07.295033+00:00,64.80%
6420063,2024-10-05 05:10:07.482630+00:00,61.39%
6420063,2024-10-05 05:10:07.667830+00:00,64.30%
6420063,2024-10-05 05:10:07.854150+00:00,65.03%
6420063,2024-10-05 05:10:08.038550+00:00,64.44%
6420063,2024-10-05 05:10:08.222393+00:00,64.45%
6420063,2024-10-05 05:10:08.408317+00:00,64.20%
6420063,2024-10-05 05:10:08.594460+00:00,68.35%
